Ref_Date,GEO,STAT,SUMMARY,Value
2010,Canada,Average expenditure per household,Food expenditures,7850
2011,Canada,Average expenditure per household,Food expenditures,7791
2012,Canada,Average expenditure per household,Food expenditures,7760
2013,Canada,Average expenditure per household,Food expenditures,7934
2014,Canada,Average expenditure per household,Food expenditures,8109
2015,Canada,Average expenditure per household,Food expenditures,8629
2016,Canada,Average expenditure per household,Food expenditures,8784
2010,Canada,Average expenditure per household,Food purchased from stores,5709
2011,Canada,Average expenditure per household,Food purchased from stores,5573
2012,Canada,Average expenditure per household,Food purchased from stores,5564
2013,Canada,Average expenditure per household,Food purchased from stores,5718
2014,Canada,Average expenditure per household,Food purchased from stores,5880
2015,Canada,Average expenditure per household,Food purchased from stores,6126
2016,Canada,Average expenditure per household,Food purchased from stores,6176
2010,Canada,Average expenditure per household,Bakery products,581
2011,Canada,Average expenditure per household,Bakery products,560
2012,Canada,Average expenditure per household,Bakery products,531
2013,Canada,Average expenditure per household,Bakery products,567
2014,Canada,Average expenditure per household,Bakery products,562
2015,Canada,Average expenditure per household,Bakery products,574
2016,Canada,Average expenditure per household,Bakery products,578
2010,Canada,Average expenditure per household,Bread and unsweetened rolls and buns,273
2011,Canada,Average expenditure per household,Bread and unsweetened rolls and buns,268
2012,Canada,Average expenditure per household,Bread and unsweetened rolls and buns,251
2013,Canada,Average expenditure per household,Bread and unsweetened rolls and buns,264
2014,Canada,Average expenditure per household,Bread and unsweetened rolls and buns,257
2015,Canada,Average expenditure per household,Bread and unsweetened rolls and buns,256
2016,Canada,Average expenditure per household,Bread and unsweetened rolls and buns,264
2010,Canada,Average expenditure per household,Cookies and crackers,123
2011,Canada,Average expenditure per household,Cookies and crackers,116
2012,Canada,Average expenditure per household,Cookies and crackers,126
2013,Canada,Average expenditure per household,Cookies and crackers,118
2014,Canada,Average expenditure per household,Cookies and crackers,115
2015,Canada,Average expenditure per household,Cookies and crackers,126
2016,Canada,Average expenditure per household,Cookies and crackers,123
2010,Canada,Average expenditure per household,Other bakery products,184
2011,Canada,Average expenditure per household,Other bakery products,176
2012,Canada,Average expenditure per household,Other bakery products,154
2013,Canada,Average expenditure per household,Other bakery products,185
2014,Canada,Average expenditure per household,Other bakery products,191
2015,Canada,Average expenditure per household,Other bakery products,192
2016,Canada,Average expenditure per household,Other bakery products,192
2010,Canada,Average expenditure per household,Other bakery products (except frozen),167
2011,Canada,Average expenditure per household,Other bakery products (except frozen),161
2012,Canada,Average expenditure per household,Other bakery products (except frozen),140
2013,Canada,Average expenditure per household,Other bakery products (except frozen),170
2014,Canada,Average expenditure per household,Other bakery products (except frozen),173
2015,Canada,Average expenditure per household,Other bakery products (except frozen),175
2016,Canada,Average expenditure per household,Other bakery products (except frozen),169
2010,Canada,Average expenditure per household,Frozen bakery products,17
2011,Canada,Average expenditure per household,Frozen bakery products,15
2012,Canada,Average expenditure per household,Frozen bakery products,13
2013,Canada,Average expenditure per household,Frozen bakery products,16
2014,Canada,Average expenditure per household,Frozen bakery products,18
2015,Canada,Average expenditure per household,Frozen bakery products,17
2016,Canada,Average expenditure per household,Frozen bakery products,22
2010,Canada,Average expenditure per household,Cereal grains and cereal products,359
2011,Canada,Average expenditure per household,Cereal grains and cereal products,335
2012,Canada,Average expenditure per household,Cereal grains and cereal products,359
2013,Canada,Average expenditure per household,Cereal grains and cereal products,320
2014,Canada,Average expenditure per household,Cereal grains and cereal products,327
2015,Canada,Average expenditure per household,Cereal grains and cereal products,341
2016,Canada,Average expenditure per household,Cereal grains and cereal products,347
2010,Canada,Average expenditure per household,Rice and rice mixes,43
2011,Canada,Average expenditure per household,Rice and rice mixes,40
2012,Canada,Average expenditure per household,Rice and rice mixes,34
2013,Canada,Average expenditure per household,Rice and rice mixes,35
2014,Canada,Average expenditure per household,Rice and rice mixes,41
2015,Canada,Average expenditure per household,Rice and rice mixes,40
2016,Canada,Average expenditure per household,Rice and rice mixes,44
2010,Canada,Average expenditure per household,Pasta products,66
2011,Canada,Average expenditure per household,Pasta products,54
2012,Canada,Average expenditure per household,Pasta products,70
2013,Canada,Average expenditure per household,Pasta products,55
2014,Canada,Average expenditure per household,Pasta products,54
2015,Canada,Average expenditure per household,Pasta products,53
2016,Canada,Average expenditure per household,Pasta products,59
2010,Canada,Average expenditure per household,Pasta (fresh or dry),42
2011,Canada,Average expenditure per household,Pasta (fresh or dry),37
2012,Canada,Average expenditure per household,Pasta (fresh or dry),49
2013,Canada,Average expenditure per household,Pasta (fresh or dry),36
2014,Canada,Average expenditure per household,Pasta (fresh or dry),39
2015,Canada,Average expenditure per household,Pasta (fresh or dry),39
2016,Canada,Average expenditure per household,Pasta (fresh or dry),42
2010,Canada,Average expenditure per household,Pasta (canned),7
2011,Canada,Average expenditure per household,Pasta (canned),5
2012,Canada,Average expenditure per household,Pasta (canned),5
2013,Canada,Average expenditure per household,Pasta (canned),6
2014,Canada,Average expenditure per household,Pasta (canned),4
2015,Canada,Average expenditure per household,Pasta (canned),4
2016,Canada,Average expenditure per household,Pasta (canned),3
2010,Canada,Average expenditure per household,Pasta mixes,17
2011,Canada,Average expenditure per household,Pasta mixes,12
2012,Canada,Average expenditure per household,Pasta mixes,15
2013,Canada,Average expenditure per household,Pasta mixes,13
2014,Canada,Average expenditure per household,Pasta mixes,11
2015,Canada,Average expenditure per household,Pasta mixes,11
2016,Canada,Average expenditure per household,Pasta mixes,14
2010,Canada,Average expenditure per household,Other cereal grains and cereal products,250
2011,Canada,Average expenditure per household,Other cereal grains and cereal products,241
2012,Canada,Average expenditure per household,Other cereal grains and cereal products,256
2013,Canada,Average expenditure per household,Other cereal grains and cereal products,230
2014,Canada,Average expenditure per household,Other cereal grains and cereal products,231
2015,Canada,Average expenditure per household,Other cereal grains and cereal products,248
2016,Canada,Average expenditure per household,Other cereal grains and cereal products,244
2010,Canada,Average expenditure per household,Flour and flour-based mixes,25
2011,Canada,Average expenditure per household,Flour and flour-based mixes,28
2012,Canada,Average expenditure per household,Flour and flour-based mixes,24
2013,Canada,Average expenditure per household,Flour and flour-based mixes,23
2014,Canada,Average expenditure per household,Flour and flour-based mixes,28
2015,Canada,Average expenditure per household,Flour and flour-based mixes,23
2016,Canada,Average expenditure per household,Flour and flour-based mixes,26
2010,Canada,Average expenditure per household,Breakfast cereal and other grain products (except infant),225
2011,Canada,Average expenditure per household,Breakfast cereal and other grain products (except infant),213
2012,Canada,Average expenditure per household,Breakfast cereal and other grain products (except infant),233
2013,Canada,Average expenditure per household,Breakfast cereal and other grain products (except infant),207
2014,Canada,Average expenditure per household,Breakfast cereal and other grain products (except infant),204
2015,Canada,Average expenditure per household,Breakfast cereal and other grain products (except infant),225
2016,Canada,Average expenditure per household,Breakfast cereal and other grain products (except infant),218
2010,Canada,Average expenditure per household,Breakfast cereal (except infant cereals),109
2011,Canada,Average expenditure per household,Breakfast cereal (except infant cereals),99
2012,Canada,Average expenditure per household,Breakfast cereal (except infant cereals),110
2013,Canada,Average expenditure per household,Breakfast cereal (except infant cereals),93
2014,Canada,Average expenditure per household,Breakfast cereal (except infant cereals),85
2015,Canada,Average expenditure per household,Breakfast cereal (except infant cereals),103
2016,Canada,Average expenditure per household,Breakfast cereal (except infant cereals),89
2010,Canada,Average expenditure per household,Cereal bars,50
2011,Canada,Average expenditure per household,Cereal bars,46
2012,Canada,Average expenditure per household,Cereal bars,50
2013,Canada,Average expenditure per household,Cereal bars,45
2014,Canada,Average expenditure per household,Cereal bars,45
2015,Canada,Average expenditure per household,Cereal bars,47
2016,Canada,Average expenditure per household,Cereal bars,53
2010,Canada,Average expenditure per household,Cereal-based snack food,58
2011,Canada,Average expenditure per household,Cereal-based snack food,60
2012,Canada,Average expenditure per household,Cereal-based snack food,63
2013,Canada,Average expenditure per household,Cereal-based snack food,61
2014,Canada,Average expenditure per household,Cereal-based snack food,63
2015,Canada,Average expenditure per household,Cereal-based snack food,61
2016,Canada,Average expenditure per household,Cereal-based snack food,64
2010,Canada,Average expenditure per household,Other cereal grains (unmilled or milled),7
2011,Canada,Average expenditure per household,Other cereal grains (unmilled or milled),8
2012,Canada,Average expenditure per household,Other cereal grains (unmilled or milled),10
2013,Canada,Average expenditure per household,Other cereal grains (unmilled or milled),7
2014,Canada,Average expenditure per household,Other cereal grains (unmilled or milled),10
2015,Canada,Average expenditure per household,Other cereal grains (unmilled or milled),13
2016,Canada,Average expenditure per household,Other cereal grains (unmilled or milled),12
2010,Canada,Average expenditure per household,"Fruit, fruit preparations and nuts",713
2011,Canada,Average expenditure per household,"Fruit, fruit preparations and nuts",669
2012,Canada,Average expenditure per household,"Fruit, fruit preparations and nuts",696
2013,Canada,Average expenditure per household,"Fruit, fruit preparations and nuts",698
2014,Canada,Average expenditure per household,"Fruit, fruit preparations and nuts",719
2015,Canada,Average expenditure per household,"Fruit, fruit preparations and nuts",755
2016,Canada,Average expenditure per household,"Fruit, fruit preparations and nuts",781
2010,Canada,Average expenditure per household,Fresh fruit,417
2011,Canada,Average expenditure per household,Fresh fruit,396
2012,Canada,Average expenditure per household,Fresh fruit,420
2013,Canada,Average expenditure per household,Fresh fruit,432
2014,Canada,Average expenditure per household,Fresh fruit,465
2015,Canada,Average expenditure per household,Fresh fruit,473
2016,Canada,Average expenditure per household,Fresh fruit,492
2010,Canada,Average expenditure per household,Apples (fresh),56
2011,Canada,Average expenditure per household,Apples (fresh),58
2012,Canada,Average expenditure per household,Apples (fresh),60
2013,Canada,Average expenditure per household,Apples (fresh),62
2014,Canada,Average expenditure per household,Apples (fresh),64
2015,Canada,Average expenditure per household,Apples (fresh),70
2016,Canada,Average expenditure per household,Apples (fresh),69
2010,Canada,Average expenditure per household,Bananas and plantains (fresh),54
2011,Canada,Average expenditure per household,Bananas and plantains (fresh),51
2012,Canada,Average expenditure per household,Bananas and plantains (fresh),52
2013,Canada,Average expenditure per household,Bananas and plantains (fresh),58
2014,Canada,Average expenditure per household,Bananas and plantains (fresh),57
2015,Canada,Average expenditure per household,Bananas and plantains (fresh),57
2016,Canada,Average expenditure per household,Bananas and plantains (fresh),53
2010,Canada,Average expenditure per household,Grapes (fresh),45
2011,Canada,Average expenditure per household,Grapes (fresh),37
2012,Canada,Average expenditure per household,Grapes (fresh),48
2013,Canada,Average expenditure per household,Grapes (fresh),44
